timestamp,device,packet_rate,byte_rate,conn_count,tcp_syn,udp_ratio,label
2024-01-01 09:00:00,webcam,6.031,4388.8,4,2,0.125,benign
2024-01-01 09:00:05,baby_monitor,6.197,6197.1,2,1,0.405,benign
2024-01-01 09:00:10,thermostat,13.863,3235.0,1,0,0.323,benign
2024-01-01 09:00:15,webcam,6.276,4846.8,3,3,0.328,benign
2024-01-01 09:00:20,doorbell,9.241,6484.9,5,1,0.576,benign
2024-01-01 09:00:25,doorbell,6.463,3166.7,1,0,0.733,benign
2024-01-01 09:00:30,doorbell,2.289,5629.6,3,0,0.204,benign
2024-01-01 09:00:35,baby_monitor,29.237,14831.5,4,0,0.962,attack
2024-01-01 09:00:40,webcam,9.626,2367.8,3,0,0.387,benign
2024-01-01 09:00:45,thermostat,11.745,5179.5,0,0,0.396,benign
2024-01-01 09:00:50,doorbell,4.079,3743.8,4,0,0.303,benign
2024-01-01 09:00:55,baby_monitor,7.229,3248.5,1,0,0.213,benign
2024-01-01 09:01:00,thermostat,13.203,5013.7,3,0,0.262,benign
2024-01-01 09:01:05,doorbell,4.895,2103.7,2,0,0.534,benign
2024-01-01 09:01:10,doorbell,11.497,3988.6,2,0,0.46,benign
2024-01-01 09:01:15,doorbell,9.18,8826.8,5,0,0.544,benign
2024-01-01 09:01:20,doorbell,6.506,5975.3,7,1,0.062,benign
2024-01-01 09:01:25,webcam,6.252,3677.9,5,1,0.349,benign
2024-01-01 09:01:30,webcam,5.596,7106.2,4,2,0.409,benign
2024-01-01 09:01:35,doorbell,9.602,3511.9,4,2,0.168,benign
2024-01-01 09:01:40,webcam,10.117,4169.5,2,1,0.084,benign
2024-01-01 09:01:45,doorbell,33.288,6647.8,5,0,0.963,attack
2024-01-01 09:01:50,doorbell,24.658,15139.1,4,0,0.852,attack
2024-01-01 09:01:55,webcam,11.349,7052.9,1,0,0.36,benign
2024-01-01 09:02:00,webcam,13.809,3501.5,2,1,0.6,benign
2024-01-01 09:02:05,thermostat,12.272,1909.3,6,0,0.335,benign
2024-01-01 09:02:10,doorbell,21.344,6636.5,4,1,0.257,benign
2024-01-01 09:02:15,webcam,8.565,7330.7,1,0,0.271,benign
2024-01-01 09:02:20,webcam,16.623,2007.4,2,0,0.179,benign
2024-01-01 09:02:25,doorbell,14.887,16872.0,4,1,0.717,attack
2024-01-01 09:02:30,webcam,6.289,5339.8,1,0,0.239,benign
2024-01-01 09:02:35,doorbell,33.491,12591.8,7,1,1.0,attack
2024-01-01 09:02:40,doorbell,18.26,2908.5,2,0,0.19,benign
2024-01-01 09:02:45,baby_monitor,35.126,20039.7,7,2,0.97,attack
2024-01-01 09:02:50,baby_monitor,4.078,5268.6,3,1,0.246,benign
2024-01-01 09:02:55,thermostat,13.692,5381.6,3,2,0.482,benign
2024-01-01 09:03:00,doorbell,9.001,4067.3,6,1,0.51,benign
2024-01-01 09:03:05,doorbell,10.685,3797.1,2,0,0.245,benign
2024-01-01 09:03:10,thermostat,6.447,1317.5,6,2,0.234,benign
2024-01-01 09:03:15,webcam,9.831,4658.0,1,0,0.469,benign
2024-01-01 09:03:20,doorbell,4.396,7158.2,4,2,0.339,benign
2024-01-01 09:03:25,webcam,19.992,3664.6,1,1,0.069,benign
2024-01-01 09:03:30,doorbell,14.821,2716.4,4,1,0.273,benign
2024-01-01 09:03:35,baby_monitor,9.63,5653.5,4,0,0.27,benign
2024-01-01 09:03:40,doorbell,13.524,5930.1,4,1,0.131,benign
2024-01-01 09:03:45,thermostat,6.82,4121.1,1,1,0.19,benign
2024-01-01 09:03:50,doorbell,14.528,4476.9,4,1,0.184,benign
2024-01-01 09:03:55,webcam,7.96,5395.9,4,0,0.561,benign
2024-01-01 09:04:00,webcam,7.696,4766.7,1,0,0.264,benign
2024-01-01 09:04:05,doorbell,5.785,6500.2,2,0,0.465,benign
2024-01-01 09:04:10,baby_monitor,11.286,8655.9,2,1,0.281,benign
2024-01-01 09:04:15,thermostat,9.438,2436.3,2,0,0.286,benign
2024-01-01 09:04:20,baby_monitor,16.861,6844.6,4,1,0.553,benign
2024-01-01 09:04:25,baby_monitor,5.455,5157.9,0,0,0.181,benign
2024-01-01 09:04:30,webcam,11.309,7082.3,2,0,0.228,benign
2024-01-01 09:04:35,baby_monitor,15.461,6086.5,2,0,0.49,benign
2024-01-01 09:04:40,doorbell,25.588,5091.7,3,0,0.439,benign
2024-01-01 09:04:45,doorbell,10.199,6140.0,2,0,0.536,benign
2024-01-01 09:04:50,doorbell,7.889,4408.8,0,0,0.493,benign
2024-01-01 09:04:55,doorbell,10.08,3838.5,3,3,0.239,benign
2024-01-01 09:05:00,webcam,16.262,6216.3,5,2,0.097,benign
2024-01-01 09:05:05,doorbell,16.259,3733.5,4,2,0.636,benign
2024-01-01 09:05:10,thermostat,8.832,5963.6,4,2,0.129,benign
2024-01-01 09:05:15,webcam,16.133,5046.1,3,0,0.058,benign
2024-01-01 09:05:20,doorbell,9.235,1505.8,2,0,0.208,benign
2024-01-01 09:05:25,webcam,13.457,4138.4,2,0,0.466,benign
2024-01-01 09:05:30,doorbell,11.9,5502.3,2,1,0.208,benign
2024-01-01 09:05:35,thermostat,7.741,4391.0,2,1,0.497,benign
2024-01-01 09:05:40,doorbell,5.888,1179.9,4,0,0.608,benign
2024-01-01 09:05:45,baby_monitor,15.642,6981.1,3,0,0.07,benign
2024-01-01 09:05:50,thermostat,17.57,5254.1,3,0,0.305,benign
2024-01-01 09:05:55,doorbell,11.189,5665.6,5,1,0.715,benign
2024-01-01 09:06:00,doorbell,9.229,4290.1,3,1,0.448,benign
2024-01-01 09:06:05,thermostat,5.11,5797.2,5,1,0.463,benign
2024-01-01 09:06:10,thermostat,15.463,7752.2,5,2,0.173,benign
2024-01-01 09:06:15,thermostat,10.612,3897.4,2,0,0.177,benign
2024-01-01 09:06:20,thermostat,8.259,7500.5,0,0,0.313,benign
2024-01-01 09:06:25,doorbell,13.627,5597.8,4,2,0.422,benign
2024-01-01 09:06:30,webcam,4.642,3695.9,3,2,0.273,benign
2024-01-01 09:06:35,doorbell,5.644,8318.6,2,0,0.467,benign
2024-01-01 09:06:40,baby_monitor,6.701,5587.5,4,0,0.555,benign
2024-01-01 09:06:45,webcam,11.734,6014.7,0,0,0.059,benign
